ID,pclass,sex,age,sibsp,parch,fare,embarked,survived
462,1,male,,0,0,30,S,1
463,2,female,31,0,0,21,S,1
464,3,male,16,0,0,9.2,S,0
465,3,female,18,0,1,9.4,S,1
466,3,female,20,0,0,7.9,S,0
467,1,female,24,0,0,69.3,C,1
468,3,female,39,0,5,29.1,Q,0
469,3,male,26,1,2,20.6,S,0
470,3,male,19,0,0,8.1,S,0
471,3,male,30.5,0,0,8.1,S,0
472,2,male,42,0,0,13,S,1
473,1,female,17,1,0,108.9,C,1
474,3,male,,0,0,7.2,C,0
475,1,male,,0,0,31,S,0
476,3,male,22,0,0,7.1,S,0
477,1,female,,0,0,79.2,C,1
478,2,female,,0,0,21,S,0
479,3,male,25,0,0,7.9,S,0
480,2,male,30,0,0,12.7,C,1
481,2,male,30,1,0,21,S,0
482,3,female,9,1,1,15.2,C,1
483,1,female,26,1,0,136.8,C,1
484,1,male,24,0,0,79.2,C,0
485,3,male,27,0,0,8.7,S,1
486,3,female,4,0,2,22,S,1
487,1,female,42,0,0,227.5,C,1
488,3,male,47,0,0,7.3,S,0
489,1,male,36,0,1,512.3,C,1
490,2,female,12,0,0,15.8,S,1
491,3,male,19,0,0,7.8,S,0
492,3,male,,0,0,7.8,Q,0
493,1,female,26,0,0,78.9,S,1
494,3,female,22,0,0,7.8,Q,1
495,3,male,28,0,0,22.5,S,0
496,1,female,23,1,0,82.3,S,1
497,3,male,43,0,0,6.5,S,0
498,1,female,54,1,0,78.3,C,1
499,3,female,35,1,1,20.3,S,1
500,3,male,,0,0,7.7,Q,0
501,3,female,,0,0,7.7,Q,1
502,1,female,,1,0,51.9,S,1
503,3,male,21,0,0,7.8,S,0
504,2,male,36,0,0,13,S,0
505,2,female,20,0,0,36.8,S,1
506,2,female,24,2,1,27,S,1
507,1,female,28,3,2,263,S,1
508,1,male,62,0,0,26.6,S,0
509,1,female,29,0,0,221.8,S,1
510,3,female,,0,0,7.8,Q,0
511,3,female,,1,0,15.5,Q,1
512,2,female,28,0,0,13,S,1
513,3,male,,0,0,8.1,S,0
514,3,male,24,0,0,9.3,S,0
515,3,male,,0,0,7.8,S,0
516,2,female,30,0,0,13,S,0
517,3,female,,0,0,8.1,S,1
518,3,male,22,0,0,7.9,S,0
519,2,female,24,1,1,37,C,1
520,3,female,18,0,0,7.9,Q,0
521,3,female,,1,0,14.5,C,0
522,1,male,37,1,1,52.6,S,1
523,1,female,60,1,0,75.3,C,1
524,3,male,,8,2,69.6,S,0
525,2,female,19,0,0,26,S,1
526,3,male,18,0,0,8.7,S,0
527,2,male,28,0,0,10.5,S,0
528,3,male,,0,0,7.9,S,0
529,3,male,4,4,2,31.3,S,0
530,3,male,,0,0,7.8,Q,0
531,1,male,53,1,1,81.9,S,1
532,3,female,33,1,2,20.6,S,1
533,3,male,25,0,0,7.7,S,0
534,3,male,,0,0,7.8,Q,1
535,3,male,44,0,1,16.1,S,0
536,2,male,25,0,0,13,S,0
537,3,female,41,0,2,20.2,S,0
538,1,male,,0,0,35.5,S,1
539,3,male,4,1,1,11.1,S,1
540,2,male,24,0,0,13.5,S,0
541,2,female,7,0,2,26.3,S,1
542,2,female,,0,0,33,S,1
543,3,male,11.5,1,1,14.5,S,0
544,3,male,1,1,2,20.6,S,1
545,1,male,36,0,0,26.4,S,1
546,2,male,34,0,0,13,S,0
547,2,female,34,0,1,23,S,1
548,2,female,5,1,2,27.8,S,1
549,3,male,32,0,0,8.4,S,0
550,3,male,,0,0,7,Q,0
551,3,male,17,1,0,7.1,S,0
552,3,female,,8,2,69.6,S,0
553,1,male,28,0,0,35.5,S,1
554,2,female,48,1,2,65,S,1
555,3,male,35,0,0,7.9,C,0
556,1,male,67,1,0,221.8,S,0
557,1,male,42,0,0,26.6,S,0
558,2,female,40,0,0,13,S,1
559,3,female,,0,2,22.4,C,1
560,1,male,,0,0,42.4,S,0
561,2,male,44,0,0,13,S,0
562,3,male,21,1,0,6.5,S,0
563,3,female,5,0,0,12.5,S,1
564,1,male,39,0,0,29.7,C,0
565,1,male,50,2,0,133.7,S,1
566,2,male,2,1,1,26,S,1
567,3,male,18,0,0,7.8,S,0
568,1,female,18,2,2,262.4,C,1
569,1,female,58,0,1,512.3,C,1
570,2,male,30,0,0,13,S,0
571,2,male,24,0,0,10.5,S,0
572,3,male,7,1,1,15.2,C,1
573,3,female,29,0,2,15.2,C,1
574,2,female,50,0,1,26,S,1
575,3,male,29,0,0,7.9,C,1
576,1,female,31,1,0,113.3,C,1
577,3,male,21,0,0,8.1,S,0
578,2,female,54,1,3,23,S,1
579,3,male,20,0,0,7.9,S,0
580,1,female,30,0,0,106.4,C,1
581,3,male,17,0,0,7.9,S,0
582,1,male,31,0,0,50.5,S,0
583,3,female,16,0,0,7.7,S,1
584,3,male,,0,0,7.8,Q,0
585,1,male,27,0,0,76.7,C,1
586,3,female,45,0,1,14.5,C,0
587,1,female,21,0,0,78,S,1
588,3,female,21,0,0,7.8,Q,0
589,1,female,24,0,0,83.2,C,1
590,2,female,18,1,1,13,S,0
591,1,female,60,1,4,263,S,1
592,3,female,2,1,1,20.2,S,0
593,3,female,,0,0,7.8,Q,1
594,3,male,28,0,0,9.5,S,0
595,2,male,29,0,0,13.9,C,1
596,1,male,42,1,0,52.6,S,1
597,3,male,48,0,0,7.9,S,0
598,3,female,,0,0,7.8,Q,1
599,2,female,24,1,0,26,S,1
600,3,female,21,1,0,9.8,S,0
601,1,female,,0,0,110.9,C,1
602,1,male,,0,0,50,S,0
603,3,male,,0,0,8.1,S,0
604,3,male,39,0,0,7.9,S,0
605,3,male,,0,0,7.6,S,0
606,3,female,21,2,2,34.4,S,0
607,2,male,39,0,0,13,S,0
608,3,male,0.75,1,1,13.8,S,0
609,1,male,55,1,1,93.5,S,0
610,3,female,1,1,1,11.1,S,1
611,2,female,25,1,1,30,S,1
612,1,female,45,0,1,59.4,C,1
613,2,female,34,0,0,13,S,1
614,2,male,28,0,0,26,S,0
615,3,male,30,0,0,9.5,S,1
616,3,female,18,0,0,8.1,S,1
617,3,male,32,0,0,56.5,S,1
618,1,male,30,0,0,45.5,S,0
619,2,female,41,0,1,19.5,S,1
620,1,female,33,0,0,151.6,S,1
621,3,female,,0,0,7.8,Q,1
622,1,male,49,0,0,26,S,0
623,3,male,31,0,0,7.8,S,0
624,3,female,,8,2,69.6,S,0
625,1,male,56,0,0,30.7,C,0
626,3,male,,0,0,7.9,S,0
627,3,male,,0,0,14.5,S,0
628,3,male,28.5,0,0,7.2,C,0
629,1,female,21,0,0,26.6,S,1
630,3,male,,0,0,6.9,Q,0
631,3,female,16,1,1,8.5,C,1
632,1,female,21,2,2,262.4,C,1
633,3,male,34.5,0,0,7.8,Q,0
634,2,male,26,0,0,13,S,0
635,2,male,34,1,0,21,S,0
636,2,female,31,1,1,26.3,S,1
637,1,female,51,0,1,39.4,S,1
638,3,female,23,0,0,7.6,S,1
639,3,male,30,0,0,7.9,S,0
640,3,female,,0,0,7.6,S,0
641,2,male,50,0,0,13,S,0
642,3,male,21,0,0,16.1,S,0
643,3,male,30,0,0,7.2,C,0
644,1,female,15,0,1,211.3,S,1
645,3,male,19,0,0,7.9,S,0
646,3,male,47,0,0,9,S,0
647,1,male,70,1,1,71,S,0
648,3,female,16,0,0,7.8,Q,1
649,1,male,33,0,0,26.6,S,0
650,3,female,28,1,1,14.4,S,0
651,3,female,26,1,0,16.1,S,0
652,3,male,16,0,0,8.1,S,1
653,1,male,29,0,0,30,S,0
654,1,male,17,0,0,47.1,S,0
655,3,male,65,0,0,7.8,Q,0
656,3,male,22,0,0,7.3,S,0
657,2,male,25,0,0,31.5,S,0
658,2,female,32.5,0,0,13,S,1
659,3,male,,0,0,8.1,S,0
660,3,male,,0,0,7.2,C,0
661,3,male,26,0,0,8.1,S,0
662,2,female,36,0,0,13,S,1
663,3,male,27,0,0,7.9,S,0
664,3,male,,1,2,23.5,S,0
665,3,male,34,0,0,8.1,S,0
666,3,male,,0,0,15.1,S,0
667,3,male,,0,0,7.3,S,0
668,2,male,0.6667,1,1,14.5,S,1
669,1,male,24,1,0,60,S,0
670,1,female,,1,0,82.2,C,1
671,1,female,18,1,0,227.5,C,1
672,3,female,,0,0,7.2,C,1
673,3,male,,1,0,7.8,Q,0
674,3,male,,0,0,7.9,S,0
675,1,male,46,0,0,79.2,C,0
676,1,male,29,1,0,66.6,S,0
677,3,male,,0,0,7.9,S,0
678,3,male,20,0,0,9.5,S,0
679,3,male,36,0,0,7.9,S,0
680,2,male,59,0,0,13.5,S,0
681,3,female,22,2,0,8.7,S,0
682,3,male,2,4,1,29.1,Q,0
683,2,female,34,0,0,10.5,S,1
684,2,female,29,1,0,26,S,1
685,3,male,14,5,2,46.9,S,0
686,3,male,,1,9,69.6,S,0
687,1,male,45,0,0,35.5,S,0
688,3,male,22,0,0,7.5,S,0
689,2,male,23,0,0,13,S,0
690,3,male,45,0,0,8.1,S,1
691,3,female,,1,0,16.1,S,1
692,1,female,45,1,0,52.6,S,1
693,2,male,29,0,0,10.5,S,0
694,3,male,21,0,0,8.1,S,0
695,3,male,,0,0,8.1,S,0
696,1,male,71,0,0,34.7,C,0
697,3,female,16,5,2,46.9,S,0
698,2,female,45,0,2,30,S,1
699,1,male,51,0,0,26.6,S,1
700,3,female,,1,9,69.6,S,0
701,3,male,,0,0,7.9,S,0
702,3,female,24,0,0,7.8,Q,1
703,3,male,36,0,0,7.3,S,0
704,1,male,62,0,0,26.6,S,0
705,2,male,1,0,2,37,C,1
706,2,male,35,0,0,12.4,Q,0
707,3,male,,0,0,7.8,Q,0
708,3,female,,8,2,69.6,S,0
709,3,male,30,1,0,16.1,S,0
710,1,female,50,1,1,211.5,C,1
711,2,male,54,1,0,26,S,0
712,2,female,34,1,1,32.5,S,1
713,2,male,3,1,1,26,S,1
714,3,female,,0,0,7.8,Q,1
715,3,male,,0,0,8.1,S,0
716,1,male,61,1,3,262.4,C,0
717,3,male,21,0,0,7.8,S,0
718,3,male,,0,0,7.3,S,0
719,2,male,31,1,1,37,C,0
720,3,female,,1,0,24.2,Q,1
721,3,male,0.3333,0,2,14.4,S,0
722,3,male,,0,0,7.8,Q,0
723,2,male,26,0,0,13,S,0
724,2,male,40,0,0,13,S,0
725,1,male,45,1,0,83.5,S,0
726,2,male,0.8333,1,1,18.8,S,1
727,3,female,4,1,1,16.7,S,1
728,2,male,,0,0,0,S,0
729,3,male,22,0,0,9,S,0
730,1,female,48,1,0,106.4,C,1
731,2,male,50,1,0,26,S,0
732,3,female,18,0,0,7.8,S,1
733,2,male,,0,0,0,S,0
734,1,female,39,1,0,55.9,S,1
735,3,male,39,0,2,7.2,C,0
736,2,male,0.8333,0,2,29,S,1
737,3,male,,0,0,8.1,S,0
738,3,male,,0,0,7.8,S,0
739,3,female,,0,0,15.5,Q,1
740,3,female,,1,2,23.5,S,0
741,3,male,2,4,1,39.7,S,0
742,3,male,27,0,0,7,S,1
743,3,female,14,0,0,7.9,S,0
744,2,male,,0,0,15,C,0
745,3,male,,0,0,8.1,S,0
746,3,female,13,0,0,7.2,C,1
747,2,male,38,1,0,21,S,0
748,1,female,38,1,0,71.3,C,1
749,1,male,28,0,0,26.6,S,1
750,3,male,22,0,0,7.8,S,0
751,1,female,52,1,0,78.3,C,1
752,1,female,27,1,2,52,S,1
753,1,female,43,1,0,55.4,C,1
754,1,female,33,1,0,53.1,S,1
755,3,male,26,2,0,8.7,S,0
756,3,male,14,4,1,39.7,S,0
757,3,Male,27,0,0,7.8,S,1
758,3,female,27,0,1,12.5,S,1
759,3,female,,0,0,7.9,Q,1
760,3,male,33,0,0,7.9,C,0
761,3,male,,0,0,7.6,S,0
762,2,male,36,0,0,13,S,0
763,3,male,,0,0,7.2,C,0
764,3,male,21,0,0,7.7,Q,0
765,3,female,31,0,0,8.7,S,1
766,3,male,22,0,0,7.8,S,0
767,2,male,35,0,0,26,S,0
768,3,female,,3,1,25.5,S,0
769,3,male,36,1,1,24.2,S,0
770,1,male,21,0,1,61.4,C,1
771,1,male,,0,0,52,S,0
772,3,male,24,0,0,7.1,S,0
773,1,male,31,0,0,28.5,C,1
774,1,male,48,0,0,50.5,C,0
775,3,male,,0,0,56.5,S,1
776,1,male,,0,0,0,S,0
777,1,male,36,0,0,26.3,S,1
778,3,female,0.75,2,1,19.3,C,1
779,3,female,38,4,2,7.8,S,0
780,2,male,23,0,0,13,S,0
781,2,male,42,0,0,13,S,0
782,3,male,29,1,0,7,S,0
783,1,male,,0,0,26.6,S,0
784,3,male,39,0,0,24.2,S,0
785,1,male,49,1,0,89.1,C,1
786,3,male,,0,0,7.9,C,0
787,3,female,18,1,0,17.8,S,0
788,3,male,28.5,0,0,16.1,S,0
789,3,male,59,0,0,7.3,S,0
790,3,male,24,0,0,7.5,S,0
791,3,male,,0,0,7.3,S,0
792,1,female,36,0,2,71,S,1
793,3,male,,0,0,7.2,C,0
794,3,male,10,3,2,27.9,S,0
795,2,male,32,0,0,10.5,S,0
796,1,female,39,1,1,83.2,C,1
797,1,female,,1,0,133.7,S,1
798,3,female,32,1,1,15.5,Q,0
799,2,female,29,1,0,26,S,1
800,1,male,46,0,0,75.2,C,0
801,3,female,39,1,5,31.3,S,0
802,2,female,13,0,1,19.5,S,1
803,2,male,27,0,0,13,S,0
804,3,female,,0,0,7.8,Q,0
805,3,male,17,1,1,7.2,C,0
806,1,female,19,1,0,91.1,C,1
807,1,female,39,0,0,211.3,S,1
808,3,female,14,1,0,11.2,C,1
809,3,male,,1,1,14.5,S,0
810,3,male,5,4,2,31.4,S,0
811,3,male,,0,0,7.8,Q,0
812,1,male,,0,0,25.9,S,0
813,1,female,58,0,0,26.6,S,1
814,1,female,33,0,0,27.7,C,1
815,3,male,,0,0,7.9,S,0
816,3,female,17,0,0,7.7,Q,0
817,3,female,18,0,0,7.8,S,0
818,3,female,31,0,0,7.9,S,0
819,3,male,36,0,0,9.5,S,0
820,2,female,18,0,2,13,S,1
821,1,female,23,1,0,113.3,C,1
822,2,male,3,1,1,18.8,S,1
823,2,female,19,0,0,13,S,1
824,3,male,33,0,0,7.9,S,0
825,3,male,,0,0,8.1,S,0
826,2,female,2,1,1,26,S,1
827,3,female,28,0,0,7.9,S,0
828,3,female,18.5,0,0,7.3,Q,0
829,2,male,54,0,0,26,S,0
830,3,male,,0,0,7.7,Queenstown,0
831,3,female,9,3,2,27.9,S,0
832,3,male,20,0,0,7.2,C,1
833,3,male,34.5,0,0,6.4,C,0
834,1,female,76,1,0,78.9,S,1
835,3,male,23,0,0,7.1,S,0
836,3,male,49,0,0,0,S,0
837,3,female,33,3,0,15.9,S,1
838,3,male,,0,0,8.5,Q,0
839,3,male,,0,0,7.2,C,1
840,3,female,0.1667,1,2,20.6,S,1
841,3,male,16,0,0,8.1,S,0
842,3,male,,0,0,7.9,C,0
843,3,male,22,0,0,7.2,C,0
844,3,male,24,0,0,7.8,S,0
845,2,female,31,0,0,21,S,1
846,3,male,16,2,0,18,S,0
847,1,female,36,0,0,135.6,C,1
848,2,male,19,0,0,10.5,S,0
849,3,male,35,0,0,7.1,S,0
850,3,female,,0,0,7.9,Q,1
851,2,female,24,0,0,13,S,1
852,3,female,17,4,2,7.9,S,1
853,1,male,23,0,1,63.4,C,1
854,1,male,40,0,0,31,C,1
855,3,male,26.5,0,0,7.2,C,0
856,1,male,28,0,0,47.1,S,0
857,1,female,24,3,2,263,S,1
858,3,male,,0,0,7.8,Q,1
859,3,male,40,1,4,27.9,S,0
860,2,male,32,1,0,26,S,1
861,3,male,36,0,0,7.5,S,0
862,1,male,28,1,0,82.2,C,0
863,2,male,57,0,0,12.4,Q,0
864,2,male,70,0,0,10.5,S,0
865,3,male,19,0,0,8.2,S,0
866,3,female,30,0,0,7.6,Q,0
867,2,male,21,2,0,73.5,S,0
868,3,male,33,1,1,20.5,S,0
869,3,male,,0,0,7.7,Q,0
870,3,male,8,4,1,29.1,Q,0
871,1,male,,0,0,30.5,S,1
872,1,male,,0,0,27.7,C,0
873,1,female,35,0,0,211.5,C,1
874,3,female,48,1,3,34.4,S,0
875,3,female,,0,0,7.8,Q,0
876,2,male,28,0,0,10.5,S,0
877,1,male,24,0,1,247.5,C,0
878,3,male,,0,0,7.9,S,0
879,2,female,35,0,0,21,S,1
880,2,male,,0,0,10.7,Q,0
881,3,female,22,1,1,12.3,S,1
882,2,male,21,0,0,11.5,S,0
883,3,male,25,0,0,7.9,S,0
884,3,male,19,0,0,7.9,S,0
885,1,male,47,0,0,52,S,0
886,2,female,28,0,0,13,S,1
887,3,male,29,3,1,22,S,1
888,2,female,29,1,0,26,S,1
889,1,male,42,0,0,26.3,S,1
890,3,male,70.5,0,0,7.8,Q,0
891,1,female,,0,0,31.7,S,1
892,3,female,45,1,0,14.1,S,1
893,3,male,,1,0,6.4,C,0
894,3,female,26,0,2,13.8,S,0
895,3,male,25,0,0,7.1,S,0
896,2,male,19,0,0,13,S,0
897,3,female,8,3,1,21.1,S,0
898,3,male,40,1,1,15.5,Q,0
899,3,female,30,1,0,15.6,S,0
900,1,female,36,1,2,120,S,1
901,2,female,21,0,0,10.5,S,1
902,1,male,19,1,0,53.1,S,0
903,2,female,20,1,0,26,S,1
904,3,female,30,0,0,8.7,S,0
905,3,male,28,0,0,7.8,S,0
906,3,male,1,5,2,46.9,S,0
907,3,male,40,1,5,31.4,S,0
908,3,female,1,1,1,12.2,S,0
909,1,female,30,0,0,聽,C,1
910,2,male,54,0,0,14,S,0
911,1,male,64,0,0,26,S,0
912,2,male,40,0,0,16,S,0
913,3,male,,0,0,7.8,Q,0
914,1,male,42,0,0,26.6,S,0
915,3,female,27,1,0,7.9,S,0
916,3,male,25,1,0,7.8,S,1
Skip Question,,,,,,,,
Show Comment,,,,,,,,
Report Issue,,,,,,,,
